Lake,dist.date,recov.date,Year,peak.z,peak.date,Pigment,dist_length,log_peakz,log_length,Trophic_Status
Falling Creek Reservoir,279,NA,2019,6.532250529,299,Phycocyanin,NA,0.815062833,NA,Eutrophic
Falling Creek Reservoir,206,321,2020,11.96098391,285,Phycocyanin,115,1.077766906,2.06069784,Eutrophic
Falling Creek Reservoir,147,157,2021,5.085392105,151,Phycocyanin,10,0.706324444,1,Eutrophic
Falling Creek Reservoir,147,177,2022,10.47493973,160,Phycocyanin,30,1.020151533,1.477121255,Eutrophic
Falling Creek Reservoir,153,179,2023,5.386820943,161,Phycocyanin,26,0.73133254,1.414973348,Eutrophic
Falling Creek Reservoir,168,191,2024,9.670124736,177,Phycocyanin,23,0.985432076,1.361727836,Eutrophic
Falling Creek Reservoir,307,329,2024,2.756184486,310,Phycocyanin,22,0.440308284,1.342422681,Eutrophic
Beaverdam Reservoir,57,116,2022,4.478636795,100,Chlorophyll-a,59,0.651145844,1.770852012,Eutrophic
Beaverdam Reservoir,223,231,2022,2.896004645,225,Chlorophyll-a,8,0.461799254,0.903089987,Eutrophic
Beaverdam Reservoir,251,277,2022,13.46299386,263,Chlorophyll-a,26,1.129141648,1.414973348,Eutrophic
Beaverdam Reservoir,264,273,2023,2.961108681,266,Chlorophyll-a,9,0.471454348,0.954242509,Eutrophic
Beaverdam Reservoir,84,96,2024,3.29199827,89,Chlorophyll-a,12,0.517459598,1.079181246,Eutrophic
Beaverdam Reservoir,132,161,2024,5.876024469,142,Chlorophyll-a,29,0.769083596,1.462397998,Eutrophic
Beaverdam Reservoir,198,245,2024,7.291533885,208,Chlorophyll-a,47,0.862818898,1.672097858,Eutrophic
Beaverdam Reservoir,154,189,2022,29.94758376,178,Phycocyanin,35,1.476361788,1.544068044,Eutrophic
Beaverdam Reservoir,355,NA,2022,5.975982741,361,Phycocyanin,NA,0.776409335,NA,Eutrophic
Beaverdam Reservoir,6,42,2023,3.650044877,7,Phycocyanin,36,0.562298204,1.556302501,Eutrophic
Beaverdam Reservoir,141,185,2024,21.91731416,170,Phycocyanin,44,1.340787333,1.643452676,Eutrophic
